county,state,Population (2014),Population (2010),% people under 18 (2014),% people over 65 (2014),% female (2014),% white (2014),% black (2014),% asian (2014),% hispanic (2014),% immigrants (2009-2013),"% high school graduate, people over 25 (2009-2013)","% bachelors degree, people over 25 (2009-2013)",# of veterans(2009-2013),"mean travel time to work, mins (2009-2013)",homeownership rate (2009-2013),Per capita money income in past 12 months (2009-2013),median household income (2009-2013),% people below poverty line (2009-2013),land area in square miles (2010),population per square mile (2010),Population  per square mile using 2014 population and 2010 land area
Highland ,VA,2248,2321,13.3,29.4,50.3,98.2,0.8,0.4,1.5,0.3,78.9,20.9,272,22.4,86.3,26372,49625,10.2,415.16,5.6,5.414779844
Isle of Wight ,VA,36007,35270,21.1,17.3,51.3,72.7,23.9,1,2.7,2.3,86.1,25.5,4170,28.6,80.6,30903,63942,12,315.61,111.8,114.0870061
James City ,VA,72583,67009,21,22.8,51.7,80.6,13.6,2.6,5.5,7.2,93.5,45.8,8923,24.5,76.2,39133,76960,8.7,142.44,470.4,509.5689413
King and Queen ,VA,7175,6945,18.7,20.6,49.7,68.4,26.9,0.4,3.1,1.8,81.5,14.1,703,42.5,76.2,23868,48372,9.2,315.14,22,22.76765882
King George ,VA,25371,23584,26.2,11.7,49.4,77.3,17.3,1.4,4.4,1.9,91.1,31.1,3007,34,73.5,34234,81753,7.1,179.64,131.3,141.2324649
King William ,VA,16186,15935,23.5,14.4,51.3,77.9,17.5,0.9,2.5,1.6,89.4,19.2,1187,34.2,83.1,26940,62670,9.5,273.94,58.2,59.08593123
Lancaster ,VA,11044,11391,15,35.2,53.3,69.9,28,0.7,1.6,1.8,87.9,28.3,1460,26,79.2,30737,49248,11.7,133.25,85.5,82.88180113
Lee ,VA,24951,25587,19.3,18.8,47.7,94.2,4.2,0.3,1.8,1.1,74.2,11.7,1823,28.4,74.3,16664,31308,26.8,435.52,58.8,57.29013593
Loudoun ,VA,363050,312311,29.4,7.9,50.4,70.7,7.8,17.3,13.4,22.8,93.8,57.9,20436,33.1,77.7,46565,122238,3.6,515.56,605.8,704.1857398
Louisa ,VA,34348,33153,21,17.6,50.6,80,16.7,0.6,2.5,2.6,82.5,18.8,2963,35.1,79.9,26956,54518,10.3,496.3,66.8,69.20814024
Lunenburg ,VA,12466,12914,18.7,19.7,47.3,63.3,34,0.3,4.2,2.9,69,11.9,1184,29.2,75.3,17630,35237,22.6,431.68,29.9,28.8778725
Madison ,VA,13157,13308,21,20.5,51.4,87.2,9.5,0.6,2.1,3,79.8,21.8,1356,32.8,80.3,27296,53459,13.3,320.68,41.5,41.02843957
Mathews ,VA,8836,8978,16.9,28.2,51.7,87.7,9.2,0.7,2.1,1.7,88.8,27.2,1125,32.9,79.8,31342,55192,10.1,85.93,104.5,102.8278832
Mecklenburg ,VA,31192,32727,19.1,23.8,51.6,62.1,34.9,0.9,2.7,2,76.9,13.7,2884,26.4,73.4,20056,36261,19.6,625.49,52.3,49.86810341
Middlesex ,VA,10696,10959,15.6,29,50.8,79.6,17.7,0.4,2.2,2.7,89,27.4,1259,27.7,82,30531,53309,9.4,130.31,84.1,82.08119101
Montgomery ,VA,97244,94392,16,11,47.9,87.2,4.2,5.9,3,9.1,89.6,42.4,4888,17.8,54.6,23548,45543,24.5,387.01,243.9,251.269993
Nelson ,VA,14850,15020,18.8,23.7,51.4,84.4,12.5,0.6,3.5,3,80.8,26.7,1327,33.2,75.8,26059,48789,14.2,470.86,31.9,31.53803678
New Kent ,VA,20021,18429,20.9,15.1,49,81.9,13.7,1.1,2.6,2.4,88.8,23.2,1926,31.9,89,32068,70618,5.9,209.73,87.9,95.46083059
Northampton ,VA,12121,12389,19.9,24.4,51.6,61.6,35.2,0.9,8.5,6.4,78.1,20.2,1133,18.8,68.6,23473,33635,24.3,211.61,58.5,57.27990171
Northumberland ,VA,12251,12330,15.9,34.3,50.5,73.4,24.8,0.3,3.6,3.3,85.6,22.1,1710,30.6,85,28568,51342,11.1,191.3,64.5,64.04077365
Nottoway ,VA,15579,15853,20.4,18.3,47,57.9,39.4,0.4,4,1.9,73.8,12,1236,28.7,64.8,19337,36607,16.8,314.39,50.4,49.55310283
Orange ,VA,35026,33481,21.9,19.7,51,82.6,13.2,1.1,4.3,4.6,85,22.2,3541,39.9,75.9,27655,60287,12.6,340.78,98.2,102.7818534
Page ,VA,23848,24042,20.3,19.8,50.4,96,2.2,0.4,1.9,1.5,75.6,11.4,1875,34,72,22355,42906,15.1,310.86,77.3,76.71620665
Patrick ,VA,18264,18490,18.1,24.2,50.9,92.4,5.8,0.3,2.8,1.4,75.3,10.7,1588,26.4,77,18860,34864,17.1,483.1,38.3,37.8058373
Pittsylvania ,VA,62383,63506,19.9,20,50.9,76.3,21.7,0.5,2.4,2.1,79.1,13.7,5165,26,79.7,21583,42143,14.5,968.94,65.5,64.38272752
Powhatan ,VA,28449,28046,19.2,15.7,46.3,85.2,12.6,0.6,2,3,85.9,27.6,2390,32.4,88.7,31252,76548,5.4,260.22,107.8,109.3267235
Prince Edward ,VA,23074,23368,16.5,15.4,50.9,64,32.6,1.2,2.5,2.3,79.5,21.9,1452,22.2,65.2,17208,37436,19.8,349.96,66.8,65.93324951
Prince George ,VA,37333,35725,21.2,12.4,45.1,61.8,32.2,1.8,7.6,4.2,86,17.9,4312,22.2,71.9,24434,63074,8.1,265.16,134.7,140.7942374
Prince William ,VA,446094,402002,28.1,8.3,50.2,64.4,21.5,8.4,22,21.4,89.1,38.1,40034,39.2,72.1,37401,98071,6.3,336.4,1195,1326.082045
Pulaski ,VA,34322,34872,18.4,20.6,49.9,92.4,5.3,0.6,1.5,1.5,81.8,16.2,3188,22.9,72.7,23987,44312,13.9,319.86,109,107.3031951
Rappahannock ,VA,7361,7373,17.6,23.8,50.2,92.4,4.6,0.8,3.4,5.2,83,32.4,697,35.4,78.3,36505,56438,10.8,266.23,27.7,27.64902528
Richmond ,VA,8902,9254,17.1,19.5,44.5,67,30,0.7,6.5,7.1,73.8,12.3,512,28.8,74.9,20875,47083,12.8,191.49,48.3,46.48806726
Roanoke ,VA,93785,92376,20.8,19.6,52,89,5.8,3.2,2.7,5.2,90.9,33.1,8535,20.3,76.7,31728,60795,6.6,250.52,368.7,374.3613284
Rockbridge ,VA,22327,22307,17.4,24.2,50.6,94.5,2.7,0.6,1.6,1.8,84.4,23.2,2579,22,73.2,25638,48313,12.6,597.56,37.3,37.36361202
Rockingham ,VA,78171,76314,22.4,18,51,95.1,2.1,0.7,6,4.7,80.7,23.4,4837,22.1,76.8,27298,52195,10.4,849.09,89.9,92.06444547
Russell ,VA,28023,28897,19.7,18.8,51.2,97.8,1,0.2,1.1,1.1,74.7,10.5,1458,28.3,78.2,19735,33872,19.3,473.82,61,59.14271242
Scott ,VA,22384,23177,18.9,21.5,49.9,97.9,0.8,0.2,1.3,0.8,74.9,10.9,1501,28.4,77,21485,38355,18.3,535.53,43.3,41.79784513
Shenandoah ,VA,43021,41993,21.5,20.2,51.2,94.8,2.4,0.8,6.8,4.1,84.6,19.8,3629,29.9,70.5,25134,49625,11.7,508.78,82.5,84.55717599
Smyth ,VA,31555,32208,20.1,20,51,95.9,2.4,0.4,1.8,1.2,79.9,15,2387,20.7,70.8,20837,37239,18.4,450.93,71.4,69.97760185
Southampton ,VA,18059,18570,19,18,48.1,61.5,36.1,0.3,1.3,1.1,78,13.6,2173,31.3,71.8,22433,46150,16,599.15,31,30.14103313
Spotsylvania ,VA,129188,122397,25.6,12.2,50.8,77.3,16.1,2.7,8.7,6.4,89.1,28.2,13141,38,77.5,31360,78345,7.6,401.5,304.9,321.7633873
Stafford ,VA,139992,128961,26.8,9.1,49.6,74,18,3.3,11.3,8.4,92.6,36.2,17657,39.4,76.9,36574,97110,5.1,268.96,479.5,520.4937537
Surry ,VA,6790,7058,18.2,19.1,50.7,53.5,43.8,0.4,1.7,1.1,77.8,16.7,702,33.5,79.9,22600,47292,11.5,278.95,25.3,24.3412798
Sussex ,VA,11767,12087,16,16.2,40.6,40.5,57.5,0.5,2.8,2,70,10.3,1114,27.1,70.2,16546,39635,15.3,490.22,24.7,24.00350863
Tazewell ,VA,43452,45078,19.6,19.2,50.3,94.6,3.4,0.7,0.9,0.8,77,12.9,3265,25.1,73,21358,35693,18.3,518.85,86.9,83.74674761
Warren ,VA,38987,37575,22.6,14.5,50.1,91.2,5.1,1.1,4.1,3.7,84,20.5,3584,39.9,72.5,28889,61610,9.3,213.47,176,182.6345622
Washington ,VA,54729,54876,19.1,20.3,50.7,97,1.5,0.6,1.4,1.3,83.2,22.3,4604,23.4,75.8,25109,41897,12.1,560.98,97.8,97.55962779
Westmoreland ,VA,17477,17454,18.5,23.7,51.4,68.5,27.4,0.8,6.1,3.4,79.1,14.9,1756,38.8,77.9,25245,49157,12.9,229.38,76.1,76.19234458
Wise ,VA,39935,41452,20,15.9,48.2,93,5.4,0.4,1.2,1.5,72.9,13.1,2901,22.2,70.8,19107,36218,21.9,403.19,102.8,99.04759543
Wythe ,VA,29121,29235,20.1,19.7,51.1,95.1,2.9,0.6,1.1,0.9,81.7,15,2201,21.3,73.7,23219,41275,14.4,461.82,63.3,63.05703521
York ,VA,66342,65464,24.1,14.6,50.7,77.1,13.4,5.5,5.8,7,94.9,42,9868,21.5,75.1,36373,82073,5.7,104.78,624.8,633.1551823
Alexandria city,VA,150575,139966,17.8,10.1,51.6,66.4,22.6,6.9,16.6,26.3,91.2,61.4,10810,30.5,43.3,54608,85706,8.4,15.03,9314.3,10018.29674
Bedford city,VA,0,6222,0,0,0,0,0,0,0,2.1,86.3,25,641,18.7,58.7,22322,35593,18.7,6.88,904.6,0
Bristol city,VA,17184,17835,20,19.9,52.5,91,5.9,0.9,1.7,1.6,81.6,19.6,1469,17.5,58.6,18820,32221,21,13.01,1370.6,1320.830131
Buena Vista city,VA,6603,6650,21.8,17.6,53.2,90.7,5.3,0.6,2.5,0.6,77,14.9,466,16.8,66.1,18453,36591,20.6,6.7,991.9,985.5223881
Charlottesville city,VA,45593,43475,15.6,9.5,51.7,69.9,19.2,7.1,4.9,12.3,88.2,49.9,1742,17.4,40.5,27268,44601,27.5,10.24,4246.4,4452.441406
Chesapeake city,VA,233371,222209,24.5,11.8,51,62.7,30.1,3.4,5.3,4.8,90.2,29.3,25990,24.4,72.5,29905,69743,8.5,340.8,652,684.774061
Colonial Heights city,VA,17731,17411,23.1,20.1,53.8,79.8,13.9,3.3,5.3,5.2,88.7,20.5,1960,20.9,64,27610,50835,9.3,7.52,2315.3,2357.845745
Covington city,VA,5802,5961,22.5,18.9,50.6,83.7,12.8,0.8,2.5,2,78.8,8.3,631,21.6,72.9,20160,34319,21.3,5.47,1090.2,1060.694698
Danville city,VA,42444,43055,22.3,19.7,53.8,47.5,49.4,1.2,3.4,3.4,77.9,17.2,4057,19.1,54.4,19626,30786,27.4,42.93,1002.8,988.6792453
Emporia city,VA,5462,5927,23.8,17.5,53.8,33.2,63.7,1.2,5.5,2.8,71.4,16,335,19.6,45.5,19710,32155,29,6.89,859.7,792.743106
Fairfax city,VA,24483,22565,23.5,15.4,50.7,73.3,5.4,17,16.6,25.2,92,51.9,1752,31.7,68.4,44345,97242,7.2,6.24,3616.8,3923.557692
Falls Church city,VA,13601,12332,26.6,11.4,51,80.6,5.3,9.3,9.5,16.9,97.3,74.4,686,27.3,59.4,59088,120000,4,2,6169.1,6800.5
Franklin city,VA,8526,8582,26.2,17.5,54.9,39.2,57.3,0.9,2.3,2.9,79.4,20.6,839,27.2,42.5,19588,31928,23,8.21,1045.8,1038.489647
Fredericksburg city,VA,28350,24286,20.3,10.1,54.5,68.4,24.1,3,10.9,8.9,90.3,35.1,1934,25,38.1,27222,47040,18.6,10.44,2326.2,2715.517241
Galax city,VA,7014,7042,23.9,20,53,89.7,7,0.6,14.7,6.7,75.8,14.5,559,21.4,65.1,21769,30325,25.3,8.24,854.6,851.2135922
Hampton city,VA,136879,137436,21.7,13.7,51.9,43.3,49.8,2.4,5.3,5,89.3,22.5,20146,22.1,60.1,25247,50705,14.9,51.41,2673.2,2662.497569
Harrisonburg city,VA,52478,48914,16.2,8.1,52.1,84.1,8.4,4,18.6,14.7,81.5,35.1,1646,15.7,36.2,17080,38048,33.5,17.42,2808.2,3012.514351
Hopewell city,VA,22196,22591,25.3,15.7,53.3,55.5,39.4,1.1,7.2,4.6,76.8,10.2,1879,21.4,50.4,20388,37933,20.1,10.28,2198,2159.143969
Lexington city,VA,7311,7042,12.3,14.1,44.4,84.6,9.6,3.2,3.8,5.2,78.3,41.7,320,17,55.5,14763,36505,25.2,2.5,2820.2,2924.4
Lynchburg city,VA,79047,75568,20,14,53.2,65.7,28.5,3.1,3.3,5,86,31.2,5488,16.9,52.7,21440,38138,24.7,49.13,1538.2,1608.935477
Manassas city,VA,42081,37821,27,8.2,49.7,73.7,15.1,6,33.7,25.5,82.6,28.7,2621,33.8,65.2,28752,71036,11.7,9.88,3827.6,4259.210526
Manassas Park city,VA,15174,14273,24.9,7.5,49.1,69.4,15,10.3,35.5,31.6,82.9,26,885,40.8,63.7,26944,71227,7,2.53,5632.6,5997.628458
Martinsville city,VA,13711,13821,23.3,20.4,54,51.4,45.1,1,4.8,3.2,77.7,16.7,1045,17.8,53.7,19900,28116,27.2,10.96,1261.5,1251.00365
Newport News city,VA,182965,180719,23.5,11.6,51.6,50.9,41.1,3.2,8.5,7.3,89.2,23.9,21639,22.4,51.4,25310,51027,15.2,68.71,2630,2662.85839
Norfolk city,VA,245428,242803,20.3,9.9,47.8,49.2,42.7,3.7,7.5,6.4,86,25.3,28126,21.5,44.5,24659,44747,19.2,54.12,4486.4,4534.88544
Norton city,VA,4031,3958,22.9,14.8,52.7,89.3,6.6,1.5,3.3,2.5,81.4,20.5,265,15,52.7,22699,39416,18.1,7.48,529.1,538.9037433
Petersburg city,VA,32701,32420,22.1,15.3,53.8,18.4,77.6,1.2,4.4,3.7,73.7,14.9,2692,22.7,45.7,18936,34424,26.7,22.93,1413.7,1426.122983
Poquoson city,VA,12048,12150,21.8,18.3,50.5,94.4,1.2,2.4,2.3,4.1,92.7,37.2,1363,22.8,81.8,38444,81892,5.6,15.32,793.2,786.4229765
Portsmouth city,VA,96004,95535,23.4,13.9,52,41.8,53.4,1.4,4,2.7,82.4,19.5,10778,24.4,57.2,23138,46166,18.4,33.65,2838.8,2853.016345
Radford city,VA,17646,16408,13.3,7.9,52.5,86,9.1,2.4,3.2,4.1,86.7,32.1,918,18.7,46.2,16181,30714,37.7,9.87,1662.1,1787.841945
Richmond city,VA,217853,204214,18.4,11.4,52.3,44.7,49.7,2.4,6.6,7,81.5,34.8,12126,21.7,43.1,27184,40496,25.6,59.81,3414.7,3642.417656
Roanoke city,VA,99428,97032,22.1,14.9,52.3,65.4,29,2.3,5.9,6.6,81.8,23.6,7732,18.4,54.8,23295,38145,22.4,42.56,2279.8,2336.184211
Salem city,VA,25483,24802,19.9,17.1,52.2,88.5,7.3,1.9,3.2,4.9,88.9,30.8,2222,17.2,66.6,26661,48733,11.7,14.44,1717.9,1764.750693
Staunton city,VA,24538,23746,18.9,20.6,55,83.8,12,1.2,2.8,3.1,84.6,28,1819,19.3,57.7,24753,38501,18,19.98,1188.8,1228.128128
Suffolk city,VA,86806,84585,24.9,13,51.7,52.4,42.9,1.8,3.7,3.2,87.2,26.2,10741,28.1,73.4,29135,66085,11.4,400.17,211.4,216.9228078
Virginia Beach city,VA,450980,437994,22.8,12.3,50.8,68.6,20,6.8,7.7,8.7,93.6,32.9,61100,22.9,64.2,31934,65219,7.9,249.02,1758.9,1811.019195
Waynesboro city,VA,21366,21006,23.8,17.4,52.6,83.7,11.7,0.9,7,3.4,83.6,19.1,1828,19.5,58.2,22872,44847,19.9,15.04,1396.8,1420.611702
Williamsburg city,VA,14691,14068,10.6,15.8,53.5,75.1,15,6.4,7.1,8.3,91.7,49.8,957,19.2,44.7,23127,48616,19.5,9.02,1559.3,1628.713969
Winchester city,VA,27543,26203,22.5,14.6,50.4,81.8,11.6,2.7,16.4,11.6,83.8,28.6,1648,22.3,48.6,26060,44200,20.1,9.23,2838,2984.073673
Addison ,VT,37009,36821,18.2,16.9,49.9,95,1,1.8,2.2,4.1,90.7,35.6,2610,23.8,74.1,28722,57565,11.3,766.33,48,48.29381598
Bennington ,VT,36445,37125,19.5,21.2,51.5,96.4,1,0.9,1.8,2.6,90.1,32.3,3327,19,70.6,29196,50221,13.9,674.98,55,53.99419242
Caledonia ,VT,30981,31227,20.4,17.8,50.3,96.3,0.8,0.8,1.5,2.1,89.8,26.6,2654,23.1,73.4,23584,45395,14.1,648.86,48.1,47.7468175
Chittenden ,VT,160531,156545,18.7,13.2,51.1,91.7,2.4,3.5,2.2,7.2,93.9,47.4,9404,20.1,65.1,33281,63989,11.2,536.58,291.7,299.1744008
Essex ,VT,6125,6306,17.6,23.3,49.6,97.2,0.4,0.4,1.3,4.2,83.3,14.7,659,27.5,81,20887,35916,15.9,663.6,9.5,9.229957806
Franklin ,VT,48642,47746,23.1,13.9,50.3,95.5,0.7,0.6,1.4,2.7,88.8,23.7,3939,27.1,76.1,27398,56240,10.2,633.71,75.3,76.75750738
Grand Isle ,VT,6994,6970,18.9,17.9,50.2,94.8,0.7,0.4,1.8,3.1,91.6,30.3,559,33,81.2,33159,59509,6.9,81.81,85.2,85.4907713
Lamoille ,VT,25082,24475,21.2,15.2,50.1,96.4,0.8,0.6,1.6,3.5,92.6,36.4,1628,25.5,71.3,27157,52686,12.6,458.8,53.3,54.66870096
Orange ,VT,28859,28936,19.7,17.6,50.3,96.8,0.6,0.5,1.3,1.6,91.3,29.9,2227,26.2,81.5,27289,52480,13.1,687.03,42.1,42.00544372
Orleans ,VT,27082,27231,20.1,20.3,49.8,96.7,0.7,0.4,1.3,4.4,86.2,21.3,2366,22.8,77.4,22303,41953,15.4,693.27,39.3,39.06414528
Rutland ,VT,60086,61642,18.4,19.4,50.9,97,0.6,0.7,1.3,2.1,89.4,28,5261,20.4,69.7,26205,49271,13,929.82,66.3,64.62110946
Washington ,VT,58998,59534,19.4,17,50.6,96,0.9,0.9,1.9,3.4,93.5,38.1,4754,22.2,73.1,29761,57281,9.6,687.23,86.6,85.84898797
Windham ,VT,43714,44513,18.9,19.3,51,95.5,1.2,1.1,2.1,3.6,90.8,33.5,3787,21.1,69.4,28867,50234,12.4,785.31,56.7,55.66464199
Windsor ,VT,56014,56670,18.8,20.7,51.1,96.2,0.9,1.1,1.4,3.4,92.7,34,5281,21.8,69.8,30932,52460,10.3,969.34,58.5,57.78570986
Adams ,WA,19179,18728,35.3,10.2,49.1,90.6,1.4,1.5,62,25,65.7,14,868,17.3,65.9,16940,43926,22.9,1924.98,9.7,9.963220397
Asotin ,WA,22189,21623,21,20.9,51.8,94.4,0.6,0.9,3.6,1.5,89.6,17.8,2195,16.2,67.5,24659,43175,13.6,636.21,34,34.87684884
Benton ,WA,186486,175177,26.7,13.4,49.8,91,1.6,3,20.4,9.5,88.5,28.9,14541,21.5,68.1,28583,60485,12.8,1700.38,103,109.6731319
Chelan ,WA,74588,72453,24.2,17.5,50.1,93.8,0.8,1.2,27.4,11.8,83.2,23.9,5741,18.1,65.2,25893,51354,13.2,2920.53,24.8,25.53920008
Clallam ,WA,72715,71404,17.7,26.9,50.3,87.8,1,1.7,5.8,4.5,91.3,24.2,9035,20.6,69.8,25865,46033,14.6,1738.33,41.1,41.83037743
Clark ,WA,451008,425363,25.2,13.8,50.5,87.3,2.2,4.6,8.7,10,91.3,26,36674,24.9,65,27681,58225,12.4,629,676.2,717.0238474
Columbia ,WA,3985,4078,19,26.6,50,94.4,0.6,0.7,6.3,2.2,86.1,17.2,408,17.7,73.6,23814,42519,17.1,868.63,4.7,4.587684054
Cowlitz ,WA,102133,102410,22.9,18.1,50.4,91.9,0.9,1.6,8.4,4.4,87.4,15.4,10484,24.1,66.2,23557,47596,17.6,1140.13,89.8,89.5801356
Douglas ,WA,39804,38431,26.2,15.9,49.6,93.7,0.8,1.1,30.4,15.5,80.4,17.3,3107,19.2,71,22467,51908,15.8,1819.26,21.1,21.87922562
Ferry ,WA,7667,7551,18.6,22.3,48.3,76.5,0.7,0.9,4.2,3.6,87,16.1,891,21,72,20052,37571,20.7,2203.16,3.4,3.480001452
Franklin ,WA,87809,78163,33.5,7.9,48.1,90.9,2.8,2.1,51.9,24,71,15,3416,21.3,67,19503,55177,20.2,1242.17,62.9,70.69000217
Garfield ,WA,2215,2266,19.9,24.6,50.9,95.4,0,1.9,4.5,2.1,96.6,22.7,278,17.9,76.4,26954,51548,12.1,710.69,3.2,3.116689415
Grant ,WA,93147,89120,30.2,12.6,49.5,92.6,1.8,1.1,39.9,18.2,76.2,14.6,5671,18.7,60.5,19738,45949,20.3,2679.51,33.3,34.76269915
Grays Harbor ,WA,70818,72797,21.1,18.9,48.7,87.7,1.4,1.5,9.8,6,85.4,14.1,7534,24.1,69.3,21828,42405,19,1902.03,38.3,37.23285122
Island ,WA,79275,78506,18.9,22.5,50.1,86.3,2.9,4.8,7.1,7.6,94.6,31.7,12624,27.9,69.5,30941,58455,9,208.45,376.6,380.3070281
Jefferson ,WA,30228,29872,13.4,31.8,50.7,91.3,1,1.8,3.7,3.5,94.6,36.5,4447,23.8,73.2,28266,46320,13.3,1803.7,16.6,16.75888452
King ,WA,2079967,1931249,21,12.2,50,70.1,6.7,16.4,9.4,20.7,92.1,46.6,119707,27,58.2,39911,71811,11.5,2115.57,912.9,983.1709657
Kitsap ,WA,254183,251133,20.9,16.1,49.1,83.3,2.9,5.4,7.2,6.5,93.6,29.5,35514,29.7,67.4,31769,62413,10.4,394.94,635.9,643.5990277
Kittitas ,WA,42522,40915,18.1,14.6,49.7,91.9,1.2,2.3,8.8,5.7,91.1,33.6,3622,21.4,56.8,22796,42982,22.6,2297.27,17.8,18.50979641
Klickitat ,WA,20861,20318,20.5,21.1,49.4,92.9,0.6,0.8,12.3,5.6,87,19.5,2224,20,69.8,22229,41694,17.5,1871.31,10.9,11.14780555
Lewis ,WA,75128,75455,21.9,19.8,50,92.9,0.8,1,9.7,5,85.9,14,7912,26.1,68.6,22212,42860,15.4,2402.8,31.4,31.26685534
Lincoln ,WA,10250,10570,21.7,23.9,49.7,94.3,0.4,0.7,3.1,1.9,93.5,20.3,1223,20.7,77.9,25816,47195,14.2,2310.49,4.6,4.436288406
Mason ,WA,60711,60699,19.3,21.3,48.4,88.3,1.4,1.3,8.9,5.5,88.5,17.3,8425,31.8,77.9,23542,48755,17.3,959.42,63.3,63.27885598
Okanogan ,WA,41290,41120,23.4,19.8,49.5,82.4,0.8,1,19,10.9,81.7,16.5,3891,18,68.2,20735,40368,20.7,5267.98,7.8,7.837918899
Pacific ,WA,20561,20920,17,27.9,49.8,89.9,1,2.2,9,5.9,87.6,17.8,3119,21.5,72.9,23888,39830,17.2,932.66,22.4,22.04554714
Pend Oreille ,WA,12985,13001,20,23.1,48.9,91.3,0.7,0.7,3.6,2.6,90.3,17.8,1478,32.5,75.1,23167,40567,20.4,1399.99,9.3,9.27506625
Pierce ,WA,831928,795225,24,12.7,50.3,76.1,7.4,6.6,10.2,9.9,90.5,24,87547,28.8,61.5,28223,59204,12.4,1669.51,476.3,498.3066888
San Juan ,WA,16015,15769,14.1,29.4,51.9,94.5,0.6,1.5,5.9,6.5,94.5,45.1,1544,14.6,71.5,37719,53376,10.8,173.92,90.7,92.0825667
Skagit ,WA,120365,116901,22.5,18.7,50.4,90.8,0.9,2.2,17.8,9.3,88.2,23.6,11557,25,67.6,27065,55925,13.5,1731.2,67.5,69.52691774
Skamania ,WA,11340,11066,20.8,17.4,49.3,93,0.7,1.1,6,4.4,89.6,20.8,1285,28.8,73.8,28449,53712,12.5,1655.68,6.7,6.849149594
Snohomish ,WA,759583,713335,23.2,12.1,49.7,80.2,3.1,10.2,9.7,14.3,91.1,28.9,57318,29.5,66.8,31349,68381,10.4,2087.27,341.8,363.9121915
Spokane ,WA,484318,471221,22.5,14.8,50.3,89.8,1.9,2.3,5.2,5.5,92.6,28.4,46164,21.1,63.9,25661,49233,15.4,1763.79,267.2,274.5893786
Stevens ,WA,43650,43531,22.1,20.7,50,89.4,0.5,0.7,3.5,3.1,90.6,18.6,5529,28,77.5,21986,41742,16.5,2477.77,17.6,17.61664723
Thurston ,WA,265851,252264,22.1,15.2,50.9,82.9,3.4,5.7,8.4,7.6,92.9,32.3,29091,24.7,66.8,29744,62229,11.7,721.96,349.4,368.2350823
Wahkiakum ,WA,4067,3978,17.3,30.7,50.5,93.6,0.4,1,3.4,3.7,93.1,14.3,422,30.8,75.9,22334,41815,22.6,263.38,15.1,15.44156732
Walla Walla ,WA,59844,58781,21.7,16.5,49.1,92.2,2.1,1.7,21.2,11.2,88,26,5299,14.5,61.7,23809,46597,17.8,1270.13,46.3,47.1164369
Whatcom ,WA,208351,201140,20.2,15.4,50.4,87.3,1.2,4.3,8.9,11.4,90.9,31.9,14744,20.9,63,26530,51939,16.4,2106.86,95.5,98.89171563
Whitman ,WA,46827,44776,15.2,10,48.9,85.1,2.3,7.7,5.6,9.4,96.2,48.9,2526,15.4,46.2,21208,36257,32.6,2159.09,20.7,21.68830387
Yakima ,WA,247687,243231,29.8,12.8,49.9,88,1.5,1.5,47.7,18.1,71,15.5,14210,19.8,62.2,19433,43506,22.6,4295.4,56.6,57.66331424
Adams ,WI,20215,20875,14.9,27.1,46.4,94,3.2,0.5,3.9,3.4,85.3,12.1,2551,28,85.3,22196,44897,10.6,645.65,32.3,31.30953303
Ashland ,WI,16103,16157,22.6,17.5,49.7,84.2,0.5,0.4,2.4,1.5,90.5,21.7,1470,18,70.9,21115,38550,18.8,1045.04,15.5,15.40897956
Barron ,WI,45455,45870,21.7,20.2,50.2,96.1,1,0.7,2.4,2.2,88.3,16.2,3833,19.4,72.5,23337,44054,12.8,862.71,53.2,52.68862074
Bayfield ,WI,14985,15014,18,23.9,48.9,86.1,0.6,0.4,1.5,1.6,93.2,28.5,1702,23.3,82,25377,44944,13.5,1477.86,10.2,10.1396614
Brown ,WI,256670,248007,24.3,13.1,50.4,88.9,2.5,3.2,8,5.2,90.4,26.8,16824,18.5,66.3,27787,53119,11.5,529.71,468.2,484.548149
Buffalo ,WI,13188,13587,21.1,20,49.3,97.9,0.5,0.2,1.9,1,89.6,17.2,1092,24.3,76.3,24500,47384,12,671.64,20.2,19.63551903
Burnett ,WI,15328,15457,18.1,26.3,48.9,91.8,0.7,0.4,1.6,1.5,89.2,16.7,1948,26.8,79.4,22843,39564,17.1,821.85,18.8,18.65060534
Calumet ,WI,49491,48971,25.4,13.3,49.9,95.1,0.7,2.4,4,3.1,92.1,27.6,3156,19.8,81.5,28907,65130,6.4,318.24,153.9,155.5147059
Chippewa ,WI,63460,62415,22.7,16.2,48.1,95.2,1.6,1.5,1.6,1.1,90.8,18.6,5444,21.3,72.5,24628,50551,11.1,1008.37,61.9,62.93324871
Clark ,WI,34423,34690,29.3,16,49.5,97.5,0.5,0.5,4.2,2.7,81.9,11.6,2191,21.7,78.1,20754,43276,14.9,1209.82,28.7,28.45299301
Columbia ,WI,56615,56833,22.4,16.2,49.2,96,1.5,0.6,2.9,2,91.6,21.3,4714,26.1,75.6,28273,57922,9.3,765.53,74.2,73.95529894
Crawford ,WI,16392,16644,21,20.6,48.6,96.3,2,0.5,1.1,1.3,90.2,15.4,1574,23,74.9,22549,42235,12.6,570.66,29.2,28.72463463
Dane ,WI,516284,488073,21.1,11.9,50.4,86.1,5.4,5.6,6.2,8,94.7,46.6,28261,20.8,59.5,33712,61721,12.9,1197.24,407.7,431.2284922
